title,lieu_travail,contract_type_std,min_salary,max_salary,salary_currency,salary_period,min_experience,max_experience,experience_level,company_name,url_source,publication_date,source,processing_date
Alternance Charge De Communication Institutionnelle Des Partenariats Et Des Relations Presse F H,La Plaine Saint Denis,ALTERNANCE,,,,,,,NOT_SPECIFIED,ETABLISSEMENT FRANÇAIS DU SANG,https://www.welcometothejungle.com/fr/companies/etablissement-francais-du-sang-1/jobs/alternance-charge-de-communication-institutionnelle-des-partenariats-et-des-relations-presse-f-h_la-plaine-saint-denis,2025-06-08,welcome_jungle,2025-06-14
Assistante Chargee Assistant Charge De Communication En Alternance,Non spécifié,ALTERNANCE,,,,,,,NOT_SPECIFIED,SACEM,https://www.welcometothejungle.com/fr/companies/sacem/jobs/assistante-chargee-assistant-charge-de-communication-en-alternance_neuilly-sur-seine,2025-06-10,welcome_jungle,2025-06-14
Brand Manager Junior Chef De Projet Marketing Et Communication Alternance Debut Entre Juillet Et Septembre,Paris,ALTERNANCE,,,,,0.0,2.0,JUNIOR,LES SHERPAS,https://www.welcometothejungle.com/fr/companies/les-sherpas/jobs/brand-manager-junior-chef-de-projet-marketing-et-communication-alternance-debut-entre-juillet-et-septembre_paris,2025-06-09,welcome_jungle,2025-06-14
Assistant Developpement Commercial Stage,Non spécifié,STAGE,,,,,,,NOT_SPECIFIED,EXTREME,https://www.welcometothejungle.com/fr/companies/extreme/jobs/assistant-developpement-commercial-stage_clichy,2025-06-10,welcome_jungle,2025-06-14
Assistant E De Communication Community Manager H F En Alternance,Non spécifié,ALTERNANCE,,,,,,,NOT_SPECIFIED,TALIS,https://www.welcometothejungle.com/fr/companies/groupe-talis/jobs/assistant-e-de-communication-community-manager-h-f-en-alternance_saint-benoit,2025-06-10,welcome_jungle,2025-06-14
Redacteur En Chef Agence De Communication Anglophone,Paris,OTHER,68000.0,,EUR,YEARLY,,,NOT_SPECIFIED,HOLLIS & BEAN,https://www.welcometothejungle.com/fr/companies/hollis-bean/jobs/redacteur-en-chef-agence-de-communication-anglophone_paris,2025-06-10,welcome_jungle,2025-06-14
Charge De Projet Communication Alternance Debut Entre Juillet Et Septembre,Paris,ALTERNANCE,,,,,,,NOT_SPECIFIED,LES SHERPAS,https://www.welcometothejungle.com/fr/companies/les-sherpas/jobs/charge-de-projet-communication-alternance-debut-entre-juillet-et-septembre_paris,2025-06-09,welcome_jungle,2025-06-14
Communication Content Manager Stage,Paris,STAGE,1000.0,,EUR,MONTHLY,,,NOT_SPECIFIED,NAPTA,https://www.welcometothejungle.com/fr/companies/napta/jobs/communication-content-manager-stage_paris,2025-06-10,welcome_jungle,2025-06-14
Chef Fe De Projet Webmarketing Stage Alternant,Paris,STAGE,850.0,,EUR,MONTHLY,,,NOT_SPECIFIED,LIBHEROS,https://www.welcometothejungle.com/fr/companies/libheros/jobs/chef-fe-de-projet-webmarketing-stage-alternant_paris,2025-06-09,welcome_jungle,2025-06-14
Offre D Alternance Charge De Communication Interne F H,Non spécifié,STAGE,,,,,,,NOT_SPECIFIED,BOUYGUES TELECOM,https://www.welcometothejungle.com/fr/companies/bouygues-telecom/jobs/offre-d-alternance-charge-de-communication-interne-f-h_illkirch-graffenstaden_BT_Q5YYOW2,2025-06-10,welcome_jungle,2025-06-14
Herstory C Est Qui La Boss Alternance Chef Fe De Projets Communication Partenariats F H,Paris,ALTERNANCE,,,,,,,NOT_SPECIFIED,KONBINI,https://www.welcometothejungle.com/fr/companies/konbini-en/jobs/herstory-c-est-qui-la-boss-alternance-chef-fe-de-projets-communication-partenariats-f-h_paris,2025-06-09,welcome_jungle,2025-06-14
Talent Office Et Communication Manager F H,Non spécifié,CDI,,,,,,,NOT_SPECIFIED,EXTREME,https://www.welcometothejungle.com/fr/companies/extreme/jobs/talent-office-et-communication-manager-f-h_clichy,2025-06-10,welcome_jungle,2025-06-14
Alternance Acheteur Voyages Evenementiel Communication Rh H F,Non spécifié,ALTERNANCE,,,,,,,NOT_SPECIFIED,THALES,https://www.welcometothejungle.com/fr/companies/thales/jobs/alternance-acheteur-voyages-evenementiel-communication-rh-h-f_velizy-villacoublay_THALE_JW3LPaG,2025-06-10,welcome_jungle,2025-06-14
Charge De Communication Editoriale,Non spécifié,OTHER,1400.0,,EUR,MONTHLY,,,NOT_SPECIFIED,SOCIÉTÉ GÉNÉRALE,https://www.welcometothejungle.com/fr/companies/societe-generale/jobs/charge-de-communication-editoriale_la-defense_SG_5NLm9rD,2025-06-08,welcome_jungle,2025-06-14
Charge De Communication Et Developpement Commercial Alternance F H,Non spécifié,ALTERNANCE,,,,HOURLY,,,NOT_SPECIFIED,GROUPE ADENES,https://www.welcometothejungle.com/fr/companies/adenes/jobs/charge-de-communication-et-developpement-commercial-alternance-f-h_merignac_GA_Q6VNNwk,2025-06-10,welcome_jungle,2025-06-14
Stage Bras Droit Responsable Marketing Juillet 2025,Paris,STAGE,1500.0,,EUR,MONTHLY,,,NOT_SPECIFIED,ELAX ENERGIE,https://www.welcometothejungle.com/fr/companies/elax-energie/jobs/stage-bras-droit-responsable-marketing-juillet-2025_paris_EE_RljrRVo,2025-06-09,welcome_jungle,2025-06-14
Project Director,Paris,CDD,45000.0,,EUR,YEARLY,,,NOT_SPECIFIED,HOLLIS & BEAN,https://www.welcometothejungle.com/fr/companies/hollis-bean/jobs/project-director_paris,2025-06-10,welcome_jungle,2025-06-14
Stage Alternance Marketing Communication,Non spécifié,STAGE,,,,HOURLY,,,NOT_SPECIFIED,ELOQUANT,https://www.welcometothejungle.com/fr/companies/eloquant/jobs/stage-alternance-marketing-communication_levallois-perret,2025-06-10,welcome_jungle,2025-06-14
Communication Manager,Paris,CDI,,,,HOURLY,,,NOT_SPECIFIED,RESILIENCE CARE,https://www.welcometothejungle.com/fr/companies/resilience/jobs/communication-manager_paris,2025-06-08,welcome_jungle,2025-06-14
Alternance Epr2 Communication F H,Non spécifié,ALTERNANCE,,,,,,,NOT_SPECIFIED,EDF,https://www.welcometothejungle.com/fr/companies/edf/jobs/alternance-epr2-communication-f-h_penly_EDF_pdq5rNR,2025-06-09,welcome_jungle,2025-06-14
Charge De Communication Digitale F H,Non spécifié,OTHER,,,,HOURLY,,,NOT_SPECIFIED,WWF FRANCE,https://www.welcometothejungle.com/fr/companies/wwf-france/jobs/charge-de-communication-digitale-f-h_le-pre-saint-gervais,2025-06-10,welcome_jungle,2025-06-14
Assistant E De Communication Community Manager H F,Non spécifié,CDI,,,,,,,NOT_SPECIFIED,TALIS,https://www.welcometothejungle.com/fr/companies/groupe-talis/jobs/assistant-e-de-communication-community-manager-h-f_bayonne,2025-06-10,welcome_jungle,2025-06-14
Directeur De Projet Agence De Communication Anglophone,Paris,CDD,45000.0,,EUR,YEARLY,,,NOT_SPECIFIED,HOLLIS & BEAN,https://www.welcometothejungle.com/fr/companies/hollis-bean/jobs/directeur-de-projet-agence-de-communication-anglophone_paris,2025-06-10,welcome_jungle,2025-06-14
Assistant Chef De Projet Stage,Non spécifié,STAGE,,,,,,,NOT_SPECIFIED,EXTREME,https://www.welcometothejungle.com/fr/companies/extreme/jobs/assistant-chef-de-projet-stage_clichy_EXTRE_pd4Ml77,2025-06-10,welcome_jungle,2025-06-14
Stage Assistant Charge De Communication,Paris,STAGE,1000.0,,EUR,MONTHLY,,,NOT_SPECIFIED,KACTUS,https://www.welcometothejungle.com/fr/companies/kactus/jobs/stage-assistant-charge-de-communication_paris,2025-06-10,welcome_jungle,2025-06-14
Stage Charge E De Communication Events Komeet Impulse,Paris,STAGE,1000.0,,EUR,MONTHLY,,,NOT_SPECIFIED,KOMEET,https://www.welcometothejungle.com/fr/companies/komeet/jobs/stage-charge-e-de-communication-events-komeet-impulse_paris,2025-06-10,welcome_jungle,2025-06-14
Assistant Marketing Communication F H Alternance,Marseille,ALTERNANCE,,,,HOURLY,,,NOT_SPECIFIED,AXA,https://www.welcometothejungle.com/fr/companies/axa/jobs/assistant-marketing-communication-f-h-alternance_marseille,2025-06-10,welcome_jungle,2025-06-14
Alternance Master Charge E De Communication Evenementiel En Logistique,Non spécifié,ALTERNANCE,,,,HOURLY,,,NOT_SPECIFIED,DECATHLON,https://www.welcometothejungle.com/fr/companies/decathlon/jobs/alternance-master-charge-e-de-communication-evenementiel-en-logistique_ferrieres-en-brie,2025-06-10,welcome_jungle,2025-06-14
Assistant Communication Marketing Stage,Montreuil,STAGE,900.0,,EUR,MONTHLY,,,NOT_SPECIFIED,DÉKUPLE,https://www.welcometothejungle.com/fr/companies/dekuple/jobs/assistant-communication-marketing-stage_montreuil_DKUPL_MDZGdpz,2025-06-10,welcome_jungle,2025-06-14
Senior Editor Corporate Communications,Paris,CDI,,,,,5.0,,SENIOR,HOLLIS & BEAN,https://www.welcometothejungle.com/fr/companies/hollis-bean/jobs/senior-editor-corporate-communications_paris,2025-06-10,welcome_jungle,2025-06-14
Alternance Charge De Communication Institutionnelle Des Partenariats Et Des Relations Presse F H,La Plaine Saint Denis,ALTERNANCE,,,,,,,NOT_SPECIFIED,ETABLISSEMENT FRANÇAIS DU SANG,https://www.welcometothejungle.com/fr/companies/etablissement-francais-du-sang-1/jobs/alternance-charge-de-communication-institutionnelle-des-partenariats-et-des-relations-presse-f-h_la-plaine-saint-denis,2025-06-08,welcome_jungle,2025-06-14
Assistante Chargee Assistant Charge De Communication En Alternance,Non spécifié,ALTERNANCE,,,,,,,NOT_SPECIFIED,SACEM,https://www.welcometothejungle.com/fr/companies/sacem/jobs/assistante-chargee-assistant-charge-de-communication-en-alternance_neuilly-sur-seine,2025-06-10,welcome_jungle,2025-06-14
Brand Manager Junior Chef De Projet Marketing Et Communication Alternance Debut Entre Juillet Et Septembre,Paris,ALTERNANCE,,,,,0.0,2.0,JUNIOR,LES SHERPAS,https://www.welcometothejungle.com/fr/companies/les-sherpas/jobs/brand-manager-junior-chef-de-projet-marketing-et-communication-alternance-debut-entre-juillet-et-septembre_paris,2025-06-09,welcome_jungle,2025-06-14
Assistant Developpement Commercial Stage,Non spécifié,STAGE,,,,,,,NOT_SPECIFIED,EXTREME,https://www.welcometothejungle.com/fr/companies/extreme/jobs/assistant-developpement-commercial-stage_clichy,2025-06-10,welcome_jungle,2025-06-14
Assistant E De Communication Community Manager H F En Alternance,Non spécifié,ALTERNANCE,,,,,,,NOT_SPECIFIED,TALIS,https://www.welcometothejungle.com/fr/companies/groupe-talis/jobs/assistant-e-de-communication-community-manager-h-f-en-alternance_saint-benoit,2025-06-10,welcome_jungle,2025-06-14
Alternance Chef De Projet Marketing Et Communication Mobilite Douce F H,Non spécifié,ALTERNANCE,,,EUR,,,,NOT_SPECIFIED,JCDECAUX,https://www.welcometothejungle.com/fr/companies/jcdecaux/jobs/alternance-chef-de-projet-marketing-et-communication-mobilite-douce-f-h_neuilly-sur-seine,2025-06-11,welcome_jungle,2025-06-14
Redacteur En Chef Agence De Communication Anglophone,Paris,OTHER,68000.0,,EUR,YEARLY,,,NOT_SPECIFIED,HOLLIS & BEAN,https://www.welcometothejungle.com/fr/companies/hollis-bean/jobs/redacteur-en-chef-agence-de-communication-anglophone_paris,2025-06-10,welcome_jungle,2025-06-14
Charge De Projet Communication Alternance Debut Entre Juillet Et Septembre,Paris,ALTERNANCE,,,,,,,NOT_SPECIFIED,LES SHERPAS,https://www.welcometothejungle.com/fr/companies/les-sherpas/jobs/charge-de-projet-communication-alternance-debut-entre-juillet-et-septembre_paris,2025-06-09,welcome_jungle,2025-06-14
Communication Content Manager Stage,Paris,STAGE,1000.0,,EUR,MONTHLY,,,NOT_SPECIFIED,NAPTA,https://www.welcometothejungle.com/fr/companies/napta/jobs/communication-content-manager-stage_paris,2025-06-10,welcome_jungle,2025-06-14
Offre D Alternance Charge De Communication Interne F H,Non spécifié,STAGE,,,,,,,NOT_SPECIFIED,BOUYGUES TELECOM,https://www.welcometothejungle.com/fr/companies/bouygues-telecom/jobs/offre-d-alternance-charge-de-communication-interne-f-h_illkirch-graffenstaden_BT_Q5YYOW2,2025-06-10,welcome_jungle,2025-06-14
Herstory C Est Qui La Boss Alternance Chef Fe De Projets Communication Partenariats F H,Paris,ALTERNANCE,,,,,,,NOT_SPECIFIED,KONBINI,https://www.welcometothejungle.com/fr/companies/konbini-en/jobs/herstory-c-est-qui-la-boss-alternance-chef-fe-de-projets-communication-partenariats-f-h_paris,2025-06-09,welcome_jungle,2025-06-14
Talent Office Et Communication Manager F H,Non spécifié,CDI,,,,,,,NOT_SPECIFIED,EXTREME,https://www.welcometothejungle.com/fr/companies/extreme/jobs/talent-office-et-communication-manager-f-h_clichy,2025-06-10,welcome_jungle,2025-06-14
Alternance Acheteur Voyages Evenementiel Communication Rh H F,Non spécifié,ALTERNANCE,,,,,,,NOT_SPECIFIED,THALES,https://www.welcometothejungle.com/fr/companies/thales/jobs/alternance-acheteur-voyages-evenementiel-communication-rh-h-f_velizy-villacoublay_THALE_JW3LPaG,2025-06-10,welcome_jungle,2025-06-14
Charge De Communication Editoriale,Non spécifié,OTHER,1400.0,,EUR,MONTHLY,,,NOT_SPECIFIED,SOCIÉTÉ GÉNÉRALE,https://www.welcometothejungle.com/fr/companies/societe-generale/jobs/charge-de-communication-editoriale_la-defense_SG_5NLm9rD,2025-06-08,welcome_jungle,2025-06-14
Charge De Communication Et Developpement Commercial Alternance F H,Non spécifié,ALTERNANCE,,,,HOURLY,,,NOT_SPECIFIED,GROUPE ADENES,https://www.welcometothejungle.com/fr/companies/adenes/jobs/charge-de-communication-et-developpement-commercial-alternance-f-h_merignac_GA_Q6VNNwk,2025-06-10,welcome_jungle,2025-06-14
Stage Bras Droit Responsable Marketing Juillet 2025,Paris,STAGE,1500.0,,EUR,MONTHLY,,,NOT_SPECIFIED,ELAX ENERGIE,https://www.welcometothejungle.com/fr/companies/elax-energie/jobs/stage-bras-droit-responsable-marketing-juillet-2025_paris_EE_RljrRVo,2025-06-09,welcome_jungle,2025-06-14
Assistant Marketing Communication H F Alternance,Nantes,ALTERNANCE,,,,HOURLY,,,NOT_SPECIFIED,NEXITY,https://www.welcometothejungle.com/fr/companies/nexity/jobs/assistant-marketing-communication-h-f-alternance_nantes,2025-06-11,welcome_jungle,2025-06-14
Alternance Chef De Projet Marketing Et Communication Mobilite Douce F H,Non spécifié,ALTERNANCE,,,EUR,,,,NOT_SPECIFIED,JCDECAUX,https://www.welcometothejungle.com/fr/companies/jcdecaux/jobs/alternance-chef-de-projet-marketing-et-communication-mobilite-douce-f-h_neuilly-sur-seine,2025-06-11,welcome_jungle,2025-06-14
Assistant Marketing Communication H F Alternance,Nantes,ALTERNANCE,,,,HOURLY,,,NOT_SPECIFIED,NEXITY,https://www.welcometothejungle.com/fr/companies/nexity/jobs/assistant-marketing-communication-h-f-alternance_nantes,2025-06-11,welcome_jungle,2025-06-14
Project Director,Paris,CDD,45000.0,,EUR,YEARLY,,,NOT_SPECIFIED,HOLLIS & BEAN,https://www.welcometothejungle.com/fr/companies/hollis-bean/jobs/project-director_paris,2025-06-10,welcome_jungle,2025-06-14
Stage Alternance Marketing Communication,Non spécifié,STAGE,,,,HOURLY,,,NOT_SPECIFIED,ELOQUANT,https://www.welcometothejungle.com/fr/companies/eloquant/jobs/stage-alternance-marketing-communication_levallois-perret,2025-06-10,welcome_jungle,2025-06-14
Communication Manager,Paris,CDI,,,,HOURLY,,,NOT_SPECIFIED,RESILIENCE CARE,https://www.welcometothejungle.com/fr/companies/resilience/jobs/communication-manager_paris,2025-06-08,welcome_jungle,2025-06-14
Alternance Epr2 Communication F H,Non spécifié,ALTERNANCE,,,,,,,NOT_SPECIFIED,EDF,https://www.welcometothejungle.com/fr/companies/edf/jobs/alternance-epr2-communication-f-h_penly_EDF_pdq5rNR,2025-06-09,welcome_jungle,2025-06-14
Charge De Communication Digitale F H,Non spécifié,OTHER,,,,HOURLY,,,NOT_SPECIFIED,WWF FRANCE,https://www.welcometothejungle.com/fr/companies/wwf-france/jobs/charge-de-communication-digitale-f-h_le-pre-saint-gervais,2025-06-10,welcome_jungle,2025-06-14
Assistant E De Communication Community Manager H F,Non spécifié,CDI,,,,,,,NOT_SPECIFIED,TALIS,https://www.welcometothejungle.com/fr/companies/groupe-talis/jobs/assistant-e-de-communication-community-manager-h-f_bayonne,2025-06-10,welcome_jungle,2025-06-14
Directeur De Projet Agence De Communication Anglophone,Paris,CDD,45000.0,,EUR,YEARLY,,,NOT_SPECIFIED,HOLLIS & BEAN,https://www.welcometothejungle.com/fr/companies/hollis-bean/jobs/directeur-de-projet-agence-de-communication-anglophone_paris,2025-06-10,welcome_jungle,2025-06-14
Assistant Chef De Projet Stage,Non spécifié,STAGE,,,,,,,NOT_SPECIFIED,EXTREME,https://www.welcometothejungle.com/fr/companies/extreme/jobs/assistant-chef-de-projet-stage_clichy_EXTRE_pd4Ml77,2025-06-10,welcome_jungle,2025-06-14
Stage Assistant Charge De Communication,Paris,STAGE,1000.0,,EUR,MONTHLY,,,NOT_SPECIFIED,KACTUS,https://www.welcometothejungle.com/fr/companies/kactus/jobs/stage-assistant-charge-de-communication_paris,2025-06-10,welcome_jungle,2025-06-14
Stage Charge E De Communication Events Komeet Impulse,Paris,STAGE,1000.0,,EUR,MONTHLY,,,NOT_SPECIFIED,KOMEET,https://www.welcometothejungle.com/fr/companies/komeet/jobs/stage-charge-e-de-communication-events-komeet-impulse_paris,2025-06-10,welcome_jungle,2025-06-14
Assistant Marketing Communication F H Alternance,Marseille,ALTERNANCE,,,,HOURLY,,,NOT_SPECIFIED,AXA,https://www.welcometothejungle.com/fr/companies/axa/jobs/assistant-marketing-communication-f-h-alternance_marseille,2025-06-10,welcome_jungle,2025-06-14
Alternance Master Charge E De Communication Evenementiel En Logistique,Non spécifié,ALTERNANCE,,,,HOURLY,,,NOT_SPECIFIED,DECATHLON,https://www.welcometothejungle.com/fr/companies/decathlon/jobs/alternance-master-charge-e-de-communication-evenementiel-en-logistique_ferrieres-en-brie,2025-06-10,welcome_jungle,2025-06-14
Assistant Communication Marketing Stage,Montreuil,STAGE,900.0,,EUR,MONTHLY,,,NOT_SPECIFIED,DÉKUPLE,https://www.welcometothejungle.com/fr/companies/dekuple/jobs/assistant-communication-marketing-stage_montreuil_DKUPL_MDZGdpz,2025-06-10,welcome_jungle,2025-06-14
Senior Editor Corporate Communications,Paris,CDI,,,,,5.0,,SENIOR,HOLLIS & BEAN,https://www.welcometothejungle.com/fr/companies/hollis-bean/jobs/senior-editor-corporate-communications_paris,2025-06-10,welcome_jungle,2025-06-14
Alternance Charge De Communication Institutionnelle Des Partenariats Et Des Relations Presse F H,La Plaine Saint Denis,ALTERNANCE,,,,,,,NOT_SPECIFIED,ETABLISSEMENT FRANÇAIS DU SANG,https://www.welcometothejungle.com/fr/companies/etablissement-francais-du-sang-1/jobs/alternance-charge-de-communication-institutionnelle-des-partenariats-et-des-relations-presse-f-h_la-plaine-saint-denis,2025-06-08,welcome_jungle,2025-06-14
Assistante Chargee Assistant Charge De Communication En Alternance,Non spécifié,ALTERNANCE,,,,,,,NOT_SPECIFIED,SACEM,https://www.welcometothejungle.com/fr/companies/sacem/jobs/assistante-chargee-assistant-charge-de-communication-en-alternance_neuilly-sur-seine,2025-06-10,welcome_jungle,2025-06-14
Assistant Marketing Communication H F Alternance,Nantes,ALTERNANCE,,,,HOURLY,,,NOT_SPECIFIED,NEXITY,https://www.welcometothejungle.com/fr/companies/nexity/jobs/assistant-marketing-communication-h-f-alternance_nantes,2025-06-11,welcome_jungle,2025-06-14
Brand Manager Junior Chef De Projet Marketing Et Communication Alternance Debut Entre Juillet Et Septembre,Paris,ALTERNANCE,,,,,0.0,2.0,JUNIOR,LES SHERPAS,https://www.welcometothejungle.com/fr/companies/les-sherpas/jobs/brand-manager-junior-chef-de-projet-marketing-et-communication-alternance-debut-entre-juillet-et-septembre_paris,2025-06-09,welcome_jungle,2025-06-14
Assistant Developpement Commercial Stage,Non spécifié,STAGE,,,,,,,NOT_SPECIFIED,EXTREME,https://www.welcometothejungle.com/fr/companies/extreme/jobs/assistant-developpement-commercial-stage_clichy,2025-06-10,welcome_jungle,2025-06-14
Assistant E De Communication Community Manager H F En Alternance,Non spécifié,ALTERNANCE,,,,,,,NOT_SPECIFIED,TALIS,https://www.welcometothejungle.com/fr/companies/groupe-talis/jobs/assistant-e-de-communication-community-manager-h-f-en-alternance_saint-benoit,2025-06-10,welcome_jungle,2025-06-14
Alternance Chef De Projet Marketing Et Communication Mobilite Douce F H,Non spécifié,ALTERNANCE,,,EUR,,,,NOT_SPECIFIED,JCDECAUX,https://www.welcometothejungle.com/fr/companies/jcdecaux/jobs/alternance-chef-de-projet-marketing-et-communication-mobilite-douce-f-h_neuilly-sur-seine,2025-06-11,welcome_jungle,2025-06-14
